n_displ_x,n_displ_y,n_diff_int_vel_x,n_diff_int_vel_y,n_diff_vel_x,n_diff_vel_y,speed,diff_int_v_x,diff_int_v_y,acc_x,acc_y
-0.198182,-1.38033,0.007478,0.008458,0.496569,-0.07996,1.882912,-1.810328,-0.154885,8.704972,0.570985
-1.025943,1.00654,0.010379,0.003156,0.901832,0.263684,1.865281,-1.79527,-0.130245,8.536259,0.455794
-0.998409,0.818747,0.00864,0.002841,0.838412,0.237715,1.847824,-1.780014,-0.106925,8.367355,0.349371
-0.970593,0.645014,0.006963,0.002584,0.776574,0.213183,1.8305,-1.764559,-0.084925,8.198083,0.251529
-0.942943,0.484899,0.00535,0.002385,0.716317,0.190089,1.813265,-1.748904,-0.064246,8.028265,0.162085
-0.915854,0.337966,0.0038,0.002242,0.657641,0.16843,1.796082,-1.733051,-0.044887,7.857728,0.080864
-0.889674,0.203781,0.002313,0.002157,0.600547,0.148209,1.778912,-1.716998,-0.026849,7.686297,0.007693
-0.864701,0.081915,0.000894,0.002125,0.545034,0.129425,1.761719,-1.700742,-0.010135,7.513803,-0.057597
-0.841185,-0.028053,-0.000452,0.002137,0.491103,0.112077,1.744469,-1.684277,0.005245,7.340081,-0.115176
-0.819327,-0.126534,-0.001719,0.002185,0.438752,0.096166,1.727131,-1.667596,0.019283,7.16497,-0.165213
-0.799282,-0.213929,-0.002899,0.002261,0.387983,0.081692,1.709673,-1.650694,0.031972,6.988315,-0.207882
-0.781159,-0.290629,-0.003988,0.002357,0.338796,0.068655,1.692068,-1.633563,0.043303,6.80997,-0.24336
-0.765024,-0.357012,-0.004977,0.002464,0.29119,0.057054,1.674291,-1.616198,0.053267,6.629794,-0.271832
-0.750898,-0.413443,-0.005862,0.002576,0.245165,0.046891,1.656319,-1.598593,0.061858,6.447654,-0.293489
-0.738759,-0.460276,-0.006636,0.002682,0.200721,0.038164,1.63813,-1.58074,0.069066,6.26343,-0.308535
-0.728544,-0.497853,-0.007293,0.002776,0.157859,0.030874,1.619707,-1.562634,0.074884,6.077009,-0.317186
-0.72015,-0.526502,-0.007828,0.002849,0.116578,0.025021,1.601033,-1.544269,0.079303,5.88829,-0.319675
-0.713434,-0.546539,-0.00824,0.002897,0.076878,0.020604,1.582097,-1.525637,0.082315,5.697188,-0.31625
-0.708213,-0.558273,-0.008528,0.002911,0.03876,0.017624,1.562889,-1.506733,0.083912,5.503629,-0.307181
-0.704266,-0.562,-0.008692,0.002886,0.002223,0.016082,1.543402,-1.487554,0.084086,5.307558,-0.292758
-0.701334,-0.55801,-0.008745,0.00282,-0.032733,0.015975,1.523632,-1.468109,0.082833,5.108935,-0.2733
-0.69912,-0.546587,-0.008705,0.002709,-0.066107,0.017306,1.503581,-1.44841,0.080149,4.907745,-0.249149
-0.697289,-0.528012,-0.008588,0.002553,-0.0979,0.020074,1.483251,-1.428469,0.07603,4.703994,-0.220681
-0.695468,-0.502562,-0.00841,0.002348,-0.128111,0.024278,1.462652,-1.408299,0.070473,4.497717,-0.188303
-0.693249,-0.470522,-0.008189,0.002093,-0.156742,0.029919,1.441796,-1.387911,0.063472,4.288979,-0.152456
-0.690184,-0.432179,-0.007941,0.001785,-0.183791,0.036997,1.420699,-1.367319,0.055025,4.077883,-0.11362
-0.685787,-0.387834,-0.007683,0.001422,-0.209258,0.045512,1.399384,-1.346534,0.045128,3.864573,-0.072313
-0.679534,-0.337803,-0.007431,0.001002,-0.233144,0.055463,1.377879,-1.325569,0.033776,3.649241,-0.029092
-0.670865,-0.282424,-0.007201,0.000523,-0.255449,0.066852,1.356217,-1.304436,0.020966,3.432137,0.015444
-0.659179,-0.222067,-0.007012,-0.000018,-0.276173,0.079677,1.334437,-1.283147,0.006694,3.213573,0.060656
-0.643843,-0.157137,-0.006879,-0.000622,-0.295315,0.093939,1.312588,-1.261715,-0.009044,2.995358,0.104028
-0.624177,-0.088434,-0.006816,-0.001292,-0.312377,0.10899,1.291213,-1.240648,-0.025604,2.799099,0.122392
-0.600133,-0.018727,-0.006822,-0.002013,-0.324419,0.121015,1.273184,-1.222881,-0.039158,2.640662,0.124827
-0.572867,0.050561,-0.00689,-0.002769,-0.330941,0.129365,1.25889,-1.2089,-0.049042,2.519607,0.117736
-0.543719,0.118439,-0.007011,-0.00354,-0.331944,0.134041,1.24825,-1.198693,-0.055238,2.435262,0.102705
-0.514079,0.18401,-0.007174,-0.004314,-0.327428,0.135043,1.241212,-1.192249,-0.057731,2.387201,0.080863
-0.48534,0.246436,-0.007368,-0.005079,-0.317393,0.132371,1.237763,-1.189556,-0.056501,2.375279,0.05284
-0.458853,0.304897,-0.007582,-0.005822,-0.301838,0.126024,1.237923,-1.190601,-0.051532,2.399662,0.018745
-0.435874,0.358554,-0.007804,-0.006532,-0.280764,0.116003,1.24175,-1.195373,-0.042806,2.460824,-0.021854
-0.417522,0.406512,-0.008023,-0.007196,-0.254171,0.102308,1.249334,-1.20386,-0.030306,2.559519,-0.069936
-0.404733,0.447809,-0.008228,-0.007803,-0.222405,0.085072,1.260798,-1.21605,-0.014015,2.696731,-0.127027
-0.398121,0.481675,-0.008404,-0.008341,-0.187507,0.06508,1.276291,-1.23193,0.006085,2.873602,-0.195174
-0.398009,0.507465,-0.008536,-0.0088,-0.149823,0.042466,1.295982,-1.251489,0.03001,3.091338,-0.276905
-0.404509,0.524442,-0.00863,-0.009181,-0.109354,0.01723,1.320055,-1.274738,0.057767,3.331769,-0.370692
-0.417192,0.532403,-0.008738,-0.009514,-0.070821,-0.009537,1.343907,-1.297009,0.088242,3.518127,-0.46717
-0.435378,0.532625,-0.008906,-0.009834,-0.041037,-0.036261,1.360745,-1.311541,0.119833,3.631188,-0.56882
-0.45895,0.526344,-0.009178,-0.010178,-0.020078,-0.062925,1.370587,-1.318302,0.152493,3.671753,-0.6725
-0.487911,0.514733,-0.009595,-0.010581,-0.007945,-0.089529,1.373553,-1.317341,0.186191,3.640981,-0.774928
-0.522378,0.498867,-0.010202,-0.01108,-0.004637,-0.116072,1.3698,-1.308703,0.2209,3.540459,-0.872659
-0.562596,0.479686,-0.011041,-0.011712,-0.010155,-0.142554,1.359522,-1.292436,0.25659,3.372313,-0.961966
-0.608936,0.457933,-0.012466,-0.01236,-0.024499,-0.168976,1.342965,-1.268587,0.293231,3.139375,-1.038744
-0.66192,0.434087,-0.013949,-0.013012,-0.047669,-0.195337,1.320438,-1.23691,0.330924,2.845408,-1.098407
-0.722222,0.408264,-0.014411,-0.013189,-0.079665,-0.221638,1.292332,-1.196331,0.370151,2.495433,-1.135832
-0.790681,0.380089,-0.014848,-0.013335,-0.120486,-0.247878,1.259148,-1.147845,0.410467,2.096157,-1.145343
-0.868284,0.348516,-0.015241,-0.013448,-0.170133,-0.274057,1.221527,-1.091435,0.451881,1.656557,-1.120826
-0.956119,0.311605,-0.015565,-0.013523,-0.228606,-0.300176,1.180297,-1.02708,0.494402,1.204909,-1.049094
-1.054015,0.269784,-0.015797,-0.013556,-0.291198,-0.324223,1.139632,-0.959464,0.536025,0.859742,-0.904255
-1.158154,0.231889,-0.015929,-0.013554,-0.344426,-0.340434,1.108266,-0.902068,0.570989,0.624286,-0.756447
1.1712,-0.515307,-0.020874,-0.013631,-0.363338,-0.264766,1.085218,-0.855793,0.598905,0.475983,-0.621465
1.097197,-0.441656,-0.021171,-0.013838,-0.430056,-0.267019,1.069008,-0.820651,0.619769,0.396382,-0.505046
1.008155,-0.376164,-0.021351,-0.014081,-0.480491,-0.267829,1.058409,-0.79666,0.63357,0.370445,-0.409563
0.907816,-0.319493,-0.021433,-0.014369,-0.514642,-0.267193,1.052542,-0.783837,0.640299,0.387585,-0.335557
0.800158,-0.271019,-0.021444,-0.014718,-0.53251,-0.265114,1.050938,-0.782211,0.63994,0.442128,-0.283077
0.689168,-0.229326,-0.021417,-0.015147,-0.534095,-0.261589,1.05357,-0.791814,0.632475,0.533479,-0.252455
0.578711,-0.192725,-0.021399,-0.015679,-0.519396,-0.25662,1.060859,-0.812693,0.617879,0.666193,-0.244356
0.47242,-0.159757,-0.021452,-0.016349,-0.488414,-0.250207,1.073646,-0.84491,0.596118,0.849957,-0.259067
0.373564,-0.129654,-0.021663,-0.017207,-0.441149,-0.242349,1.093145,-0.888553,0.567144,1.098641,-0.295508
0.284862,-0.102617,-0.022162,-0.01832,-0.377922,-0.233222,1.120651,-0.943428,0.531062,1.295452,-0.421204
0.20736,-0.0737,-0.023071,-0.019758,-0.327092,-0.238345,1.139556,-0.981301,0.503323,1.261237,-0.58647
0.132932,-0.042669,-0.024408,-0.02153,-0.308317,-0.268472,1.135347,-0.982531,0.494673,1.004799,-0.675989
0.051226,-0.013225,-0.026172,-0.023635,-0.321595,-0.323605,1.107419,-0.947118,0.505113,0.521354,-0.687289
-0.047549,0.009009,-0.028364,-0.026073,-0.366927,-0.403742,1.058509,-0.875062,0.534642,-0.147799,-0.597805
-0.172078,0.011331,-0.030982,-0.028844,-0.444314,-0.508885,0.995734,-0.766364,0.58326,-0.899157,-0.375565
-0.325676,-0.032716,-0.034029,-0.031949,-0.553754,-0.639033,0.932907,-0.621023,0.650967,-1.544504,-0.025909
-2.660845,-0.673126,0.008775,-0.035358,-0.599144,-0.575525,0.893451,-0.439038,0.737764,-1.845291,0.287926
-0.040452,-4.031533,-0.044091,-0.028446,-0.995004,-0.739504,0.909478,-0.220411,0.84365,-1.86161,0.323225
-0.705154,-1.05694,0.039489,0.001614,3.421082,1.326061,2.519501,-2.42013,-0.354233,14.860186,1.607112
-0.505828,-1.74573,0.032429,-0.000176,3.092666,1.075451,2.478065,-2.39324,-0.267302,14.501905,1.110856
-2.226256,-0.804996,-0.009106,-0.010191,0.404316,-0.093781,2.438567,-2.3653,-0.188062,14.141568,0.672545
-2.237797,-0.949047,-0.013474,-0.009413,0.41567,-0.198535,2.400386,-2.336224,-0.116526,13.777277,0.290304
-2.265011,-1.090017,-0.017994,-0.008435,0.420961,-0.290733,2.362937,-2.305927,-0.052702,13.407104,-0.037479
-2.306399,-1.227548,-0.022545,-0.007282,0.420187,-0.370373,2.325678,-2.274322,0.003399,13.02915,-0.312198
-2.360564,-1.360827,-0.027027,-0.00598,0.413351,-0.437457,2.288117,-2.241323,0.051766,12.641591,-0.535098
-2.42622,-1.488621,-0.031361,-0.004552,0.40045,-0.491984,2.249811,-2.206844,0.092389,12.242714,-0.707342
-2.502179,-1.609303,-0.035467,-0.003021,0.381485,-0.533953,2.210373,-2.170798,0.125256,11.830944,-0.830084
-2.587342,-1.720884,-0.039265,-0.001414,0.356457,-0.563366,2.169474,-2.133101,0.150359,11.404872,-0.904552
-2.68067,-1.82103,-0.042674,0.000247,0.325366,-0.580222,2.126846,-2.093665,0.167686,10.963276,-0.932126
-2.781146,-1.907087,-0.045615,0.001938,0.28821,-0.584521,2.082288,-2.052405,0.177227,10.505147,-0.914428
-2.88773,-1.976089,-0.04802,0.003632,0.244991,-0.576264,2.035668,-2.009244,0.178971,10.029729,-0.853402
-1.463661,-3.299907,-0.058172,-0.000624,-0.274913,-0.472885,1.986934,-1.964171,0.172903,9.536566,-0.751414
-1.580363,-3.234357,-0.058819,0.000865,-0.359626,-0.467513,1.936117,-1.917207,0.159005,9.025582,-0.611342
-1.708985,-3.144057,-0.058937,0.002353,-0.436519,-0.451202,1.883346,-1.868373,0.137262,8.497188,-0.436668
-1.846803,-3.028065,-0.058572,0.003812,-0.505593,-0.423952,1.828866,-1.817688,0.107656,7.952436,-0.23156
-1.990585,-2.885157,-0.057773,0.005213,-0.566848,-0.385763,1.773049,-1.765172,0.07017,7.393247,-0.000928
-2.136475,-2.713925,-0.056585,0.006528,-0.620284,-0.336635,1.716426,-1.710847,0.024787,6.780831,0.236062
-2.274546,-2.517114,-0.055049,0.00773,-0.678003,-0.280477,1.647527,-1.642624,-0.024598,5.809916,0.395248
-2.389981,-2.300295,-0.053155,0.008811,-0.774678,-0.228489,1.531689,-1.525795,-0.066784,4.343143,0.479623
-2.487075,-2.050499,-0.05087,0.009768,-0.912597,-0.18141,1.366381,-1.358012,-0.101023,2.381442,0.463948
-2.570676,-1.747739,-0.048158,0.010607,-1.09176,-0.13924,1.151677,-1.139217,-0.127308,-0.067471,0.2993
-2.646062,-1.353996,-0.044982,0.01133,-1.312168,-0.10198,0.88831,-0.869352,-0.145629,-2.97596,-0.126675
