speed,diff_int_v_x,diff_int_v_y,acc_x,acc_y
1.882912,-1.810328,-0.154885,8.704972,0.570985
1.865281,-1.79527,-0.130245,8.536259,0.455794
1.847824,-1.780014,-0.106925,8.367355,0.349371
1.8305,-1.764559,-0.084925,8.198083,0.251529
1.813265,-1.748904,-0.064246,8.028265,0.162085
1.796082,-1.733051,-0.044887,7.857728,0.080864
1.778912,-1.716998,-0.026849,7.686297,0.007693
1.761719,-1.700742,-0.010135,7.513803,-0.057597
1.744469,-1.684277,0.005245,7.340081,-0.115176
1.727131,-1.667596,0.019283,7.16497,-0.165213
1.709673,-1.650694,0.031972,6.988315,-0.207882
1.692068,-1.633563,0.043303,6.80997,-0.24336
1.674291,-1.616198,0.053267,6.629794,-0.271832
1.656319,-1.598593,0.061858,6.447654,-0.293489
1.63813,-1.58074,0.069066,6.26343,-0.308535
1.619707,-1.562634,0.074884,6.077009,-0.317186
1.601033,-1.544269,0.079303,5.88829,-0.319675
1.582097,-1.525637,0.082315,5.697188,-0.31625
1.562889,-1.506733,0.083912,5.503629,-0.307181
1.543402,-1.487554,0.084086,5.307558,-0.292758
1.523632,-1.468109,0.082833,5.108935,-0.2733
1.503581,-1.44841,0.080149,4.907745,-0.249149
1.483251,-1.428469,0.07603,4.703994,-0.220681
1.462652,-1.408299,0.070473,4.497717,-0.188303
1.441796,-1.387911,0.063472,4.288979,-0.152456
1.420699,-1.367319,0.055025,4.077883,-0.11362
1.399384,-1.346534,0.045128,3.864573,-0.072313
1.377879,-1.325569,0.033776,3.649241,-0.029092
1.356217,-1.304436,0.020966,3.432137,0.015444
1.334437,-1.283147,0.006694,3.213573,0.060656
1.312588,-1.261715,-0.009044,2.995358,0.104028
1.291213,-1.240648,-0.025604,2.799099,0.122392
1.273184,-1.222881,-0.039158,2.640662,0.124827
1.25889,-1.2089,-0.049042,2.519607,0.117736
1.24825,-1.198693,-0.055238,2.435262,0.102705
1.241212,-1.192249,-0.057731,2.387201,0.080863
1.237763,-1.189556,-0.056501,2.375279,0.05284
1.237923,-1.190601,-0.051532,2.399662,0.018745
1.24175,-1.195373,-0.042806,2.460824,-0.021854
1.249334,-1.20386,-0.030306,2.559519,-0.069936
1.260798,-1.21605,-0.014015,2.696731,-0.127027
1.276291,-1.23193,0.006085,2.873602,-0.195174
1.295982,-1.251489,0.03001,3.091338,-0.276905
1.320055,-1.274738,0.057767,3.331769,-0.370692
1.343907,-1.297009,0.088242,3.518127,-0.46717
1.360745,-1.311541,0.119833,3.631188,-0.56882
1.370587,-1.318302,0.152493,3.671753,-0.6725
1.373553,-1.317341,0.186191,3.640981,-0.774928
1.3698,-1.308703,0.2209,3.540459,-0.872659
1.359522,-1.292436,0.25659,3.372313,-0.961966
1.342965,-1.268587,0.293231,3.139375,-1.038744
1.320438,-1.23691,0.330924,2.845408,-1.098407
1.292332,-1.196331,0.370151,2.495433,-1.135832
1.259148,-1.147845,0.410467,2.096157,-1.145343
1.221527,-1.091435,0.451881,1.656557,-1.120826
1.180297,-1.02708,0.494402,1.204909,-1.049094
1.139632,-0.959464,0.536025,0.859742,-0.904255
1.108266,-0.902068,0.570989,0.624286,-0.756447
1.085218,-0.855793,0.598905,0.475983,-0.621465
1.069008,-0.820651,0.619769,0.396382,-0.505046
1.058409,-0.79666,0.63357,0.370445,-0.409563
1.052542,-0.783837,0.640299,0.387585,-0.335557
1.050938,-0.782211,0.63994,0.442128,-0.283077
1.05357,-0.791814,0.632475,0.533479,-0.252455
1.060859,-0.812693,0.617879,0.666193,-0.244356
1.073646,-0.84491,0.596118,0.849957,-0.259067
1.093145,-0.888553,0.567144,1.098641,-0.295508
1.120651,-0.943428,0.531062,1.295452,-0.421204
1.139556,-0.981301,0.503323,1.261237,-0.58647
1.135347,-0.982531,0.494673,1.004799,-0.675989
1.107419,-0.947118,0.505113,0.521354,-0.687289
1.058509,-0.875062,0.534642,-0.147799,-0.597805
0.995734,-0.766364,0.58326,-0.899157,-0.375565
0.932907,-0.621023,0.650967,-1.544504,-0.025909
0.893451,-0.439038,0.737764,-1.845291,0.287926
0.909478,-0.220411,0.84365,-1.86161,0.323225
2.519501,-2.42013,-0.354233,14.860186,1.607112
2.478065,-2.39324,-0.267302,14.501905,1.110856
2.438567,-2.3653,-0.188062,14.141568,0.672545
2.400386,-2.336224,-0.116526,13.777277,0.290304
2.362937,-2.305927,-0.052702,13.407104,-0.037479
2.325678,-2.274322,0.003399,13.02915,-0.312198
2.288117,-2.241323,0.051766,12.641591,-0.535098
2.249811,-2.206844,0.092389,12.242714,-0.707342
2.210373,-2.170798,0.125256,11.830944,-0.830084
2.169474,-2.133101,0.150359,11.404872,-0.904552
2.126846,-2.093665,0.167686,10.963276,-0.932126
2.082288,-2.052405,0.177227,10.505147,-0.914428
2.035668,-2.009244,0.178971,10.029729,-0.853402
1.986934,-1.964171,0.172903,9.536566,-0.751414
1.936117,-1.917207,0.159005,9.025582,-0.611342
1.883346,-1.868373,0.137262,8.497188,-0.436668
1.828866,-1.817688,0.107656,7.952436,-0.23156
1.773049,-1.765172,0.07017,7.393247,-0.000928
1.716426,-1.710847,0.024787,6.780831,0.236062
1.647527,-1.642624,-0.024598,5.809916,0.395248
1.531689,-1.525795,-0.066784,4.343143,0.479623
1.366381,-1.358012,-0.101023,2.381442,0.463948
1.151677,-1.139217,-0.127308,-0.067471,0.2993
0.88831,-0.869352,-0.145629,-2.97596,-0.126675
0.579512,-0.548359,-0.155977,-6.169362,-1.18566
0.261355,-0.189216,-0.159526,-7.543603,-4.799408
0.211535,0.131227,-0.163225,2.826178,-6.472317
0.424775,0.399834,-0.168261,3.893371,-2.394341
0.626154,0.616499,-0.174639,2.564284,-1.065293
0.782824,0.781116,-0.182367,1.412928,-0.484414
0.890103,0.893578,-0.191451,0.69294,-0.189505
0.946863,0.953778,-0.201896,0.454733,-0.050982
0.952963,0.961611,-0.213711,0.708222,-0.034546
0.908866,0.91697,-0.2269,1.444896,-0.154113
0.815894,0.819748,-0.241471,2.630581,-0.476239
0.677476,0.669839,-0.25743,4.157188,-1.17266
0.504241,0.467137,-0.274783,5.547168,-2.688522
0.348163,0.227953,-0.292545,4.668607,-5.547905
0.320568,-0.000737,-0.307876,0.124474,-6.616866
0.426069,-0.215826,-0.320589,-2.445976,-4.35423
0.582172,-0.417316,-0.330684,-2.268398,-2.375012
0.746712,-0.605181,-0.338153,-1.194013,-1.139151
0.906304,-0.779339,-0.342969,0.105264,-0.350649
1.05617,-0.939701,-0.345104,1.416469,0.175994
1.194273,-1.086177,-0.344531,2.660643,0.537046
1.319624,-1.218679,-0.34122,3.80369,0.784534
1.431691,-1.337117,-0.335143,4.829004,0.948515
1.53017,-1.441401,-0.326273,5.727714,1.047511
1.614879,-1.531443,-0.31458,6.494722,1.093643
1.68571,-1.607153,-0.300037,7.126929,1.095307
1.742599,-1.668441,-0.282614,7.622369,1.058667
1.785516,-1.715219,-0.262284,7.979762,0.988539
1.814453,-1.7474,-0.239019,8.198268,0.888948
1.829427,-1.765002,-0.212821,8.277354,0.763522
1.830474,-1.768182,-0.183728,8.216733,0.615783
1.817651,-1.757104,-0.151783,8.016335,0.449417
1.791046,-1.731933,-0.117028,7.676332,0.268549
1.750779,-1.692835,-0.079505,7.197205,0.078066
1.697018,-1.639973,-0.039255,6.579874,-0.115956
1.629998,-1.57343,0.003696,5.825958,-0.305651
1.550056,-1.493106,0.049357,4.938228,-0.480476
1.457677,-1.398873,0.097744,3.92147,-0.625851
1.353592,-1.290607,0.148873,2.784145,-0.721036
1.238932,-1.168181,0.202756,1.541722,-0.735809
